id,title,subtitle,img,comment
0,1-click supply lists make school shopping easy,Find your list,https://i5.walmartimages.com/dfw/4ff9c6c9-a912/k2-_8ad8eda2-e6e3-4a91-814a-af0f29d6cb4a.v1.jpg?odnHeight=256&odnWidth=385&odnBg=&odnDynImageQuality=70,"Yitty Active, new at Walmart"
1,Shop now,Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-b513/k2-_ee150796-4e82-44cb-9a79-522bed4aaac0.v1.jpg?odnHeight=578&odnWidth=385&odnBg=&odnDynImageQuality=70,
2,"School supplies from 25¢, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-12f4/k2-_284679d0-ea16-431b-ac78-4e9219ccd3dc.v1.jpg?odnHeight=216&odnWidth=385&odnBg=&odnDynImageQuality=70,
3,Get free delivery with Walmart+ Be ready for back to school Shop now,Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-b547/k2-_f0b93506-025c-4744-86d4-542140da5bd7.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
4,"Get it in as fast as an hour, Hot summer savings, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-ba42/k2-_0ee36b19-0e69-42b0-b82b-07816615b171.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
5,"Get free delivery with Walmart,Save on college essentials Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-f7d8/k2-_679f49f3-de95-478e-85f1-831e3148d8e5.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
6,"Soil, plants & more, Get gardening in as fast as an hour, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-64b5/k2-_ab6357ed-f2c4-4a73-b549-7473e6342f5f.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
7,"Owala to Kate Somerville, New in fashion, beauty & more, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-cf9e/k2-_09ead580-6ae2-4bd9-ba26-5b6bf59aabe2.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
8,"Kids’ food faves in as fast as an hour, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-601d/k2-_16f9ed70-f336-4701-9c33-25b39511fcbc.v1.jpg?odnHeight=388&odnWidth=385&odnBg=&odnDynImageQuality=70,
9,"Up to 35% off, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-f057/k2-_5e83797f-10c9-4eb5-886f-e5d9677e2ea8.v1.png?odnHeight=388&odnWidth=385&odnBg=&odnDynImageQuality=70,
10,"From $5: backpacks from top brands, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-f19f/k2-_aa251f25-d877-4cf6-bf29-427a2199be65.v1.jpg?odnHeight=216&odnWidth=385&odnBg=&odnDynImageQuality=70,
11,"Top 100+ school picks, Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-e9d4/k2-_f527912f-99a7-4474-859f-adaef9697fc1.v1.jpg?odnHeight=256&odnWidth=385&odnBg=&odnDynImageQuality=70,
12,"New decor from Mainstays, Shop now","Shop now From, $7.33",https://i5.walmartimages.com/dfw/4ff9c6c9-e3eb/k2-_d26e6b23-7aec-4e03-ba58-de3bb502945d.v1.jpg?odnHeight=578&odnWidth=385&odnBg=&odnDynImageQuality=70,
13,,,https://i5.walmartimages.com/dfw/4ff9c6c9-e5ab/k2-_955de4a0-efea-41ae-bba3-90a12b8ba9b0.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
14,"Sun Bum, La Roche-Posay & more, Stock up: suncare from $8 Shop now",Shop now,https://i5.walmartimages.com/dfw/4ff9c6c9-caba/k2-_13e823ee-7dc4-4092-9f7a-bb527fc6dd4e.v1.jpg?odnHeight=447&odnWidth=794&odnBg=&odnDynImageQuality=70,
15,"Gear from top brands, Get tech for school, for less, Shop now","Shop now, From, $12.88",https://i5.walmartimages.com/dfw/4ff9c6c9-f652/k2-_14dea6e8-4513-4c97-99db-854542a39af1.v1.jpg?odnHeight=658&odnWidth=658&odnBg=&odnDynImageQuality=70,
